CustomerID,Age,Gender,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Returns,Churn,Occupation,FrequencyOfWebsiteVisits
102,31,Male,Platinum,176,1917.517697,Beauty,10/8/2023,0,1,Teacher,9
103,39,Female,Gold,38,960.7167205,Home Goods,30/03/23,1,1,Unemployed,36
104,66,Other,Platinum,84,349.0131531,Home Goods,11/6/2023,0,0,Student,13
105,67,Other,Bronze,101,6651.073823,Electronics,15/07/23,1,1,Teacher,3
106,23,Female,Platinum,123,556.7541337,Electronics,18/05/23,0,1,Doctor,39
107,59,Female,Bronze,131,4118.560205,Books,12/9/2023,1,0,Unemployed,6
108,53,Other,Bronze,45,2113.061677,Clothing,27/10/23,0,1,Teacher,10
109,18,Male,Platinum,76,4887.871904,Sports,18/08/23,0,0,Engineer,48
110,49,Male,Platinum,145,938.1830527,Electronics,25/05/23,0,0,Engineer,28
111,23,Male,Bronze,134,5588.899152,Books,10/2/2023,0,0,Student,47
112,48,Male,Gold,65,1265.19129,Home Goods,7/11/2023,0,0,Student,16
113,18,Female,Gold,108,6127.907276,Electronics,20/02/23,0,1,Engineer,18
114,67,Male,Gold,33,2113.462557,Electronics,10/3/2023,1,0,Unemployed,15
115,68,Other,Platinum,65,3579.271227,Electronics,21/09/23,0,1,Student,2
116,54,Other,Silver,135,455.1906242,Home Goods,17/10/23,0,1,Retired,4
117,52,Other,Platinum,100,9285.814504,Books,24/07/23,1,0,Artist,15
118,66,Other,Bronze,199,1284.524095,Home Goods,25/01/23,0,0,Engineer,21
119,47,Male,Silver,92,1209.588113,Clothing,24/11/23,1,1,Engineer,9
120,21,Other,Platinum,33,8813.236621,Sports,2/7/2023,1,0,Artist,25
121,52,Male,Platinum,64,4042.651731,Home Goods,9/1/2023,1,0,Student,27
122,60,Male,Gold,20,9830.92586,Beauty,15/07/23,1,0,Artist,7
123,31,Female,Platinum,47,3130.372577,Clothing,13/12/23,0,0,Teacher,32
124,66,Other,Silver,110,6593.264715,Books,18/09/23,1,0,Artist,16
125,57,Male,Gold,35,484.1017534,Electronics,20/03/23,0,1,Doctor,43
126,39,Male,Bronze,12,9381.258809,Books,16/10/23,1,1,Teacher,2
127,27,Other,Gold,138,4455.056125,Home Goods,13/04/23,0,0,Artist,34
128,18,Other,Gold,42,1012.641128,Sports,14/11/23,1,1,Student,47
129,28,Other,Gold,160,7462.529814,Beauty,24/03/23,0,1,Doctor,32
130,68,Other,Silver,70,7554.947802,Home Goods,22/04/23,1,0,Retired,10
131,61,Female,Bronze,123,5539.990224,Clothing,17/12/23,1,1,Doctor,18
132,41,Male,Platinum,82,5487.332802,Beauty,12/6/2023,0,1,Engineer,24
133,20,Male,Platinum,63,8867.337998,Electronics,30/03/23,0,0,Artist,38
134,52,Other,Gold,47,3356.437011,Electronics,5/8/2023,0,0,Artist,28
135,53,Male,Gold,77,846.0949126,Clothing,31/10/23,0,1,Doctor,3
136,48,Male,Bronze,154,4240.230649,Books,18/03/23,0,0,Teacher,5
137,21,Female,Bronze,53,1250.622117,Books,9/6/2023,0,1,Retired,6
138,36,Female,Silver,117,9686.021546,Home Goods,26/08/23,1,1,Unemployed,23
139,64,Male,Platinum,116,5571.809537,Beauty,6/10/2023,0,1,Teacher,42
140,53,Female,Silver,195,9732.312561,Beauty,6/6/2023,1,1,Unemployed,32
141,38,Other,Bronze,181,8740.079433,Clothing,19/06/23,0,0,Student,46
142,35,Female,Bronze,101,7241.405718,Sports,19/06/23,1,1,Unemployed,17
143,68,Female,Bronze,106,4041.402843,Beauty,9/12/2023,0,0,Doctor,47
144,45,Other,Gold,165,4632.985464,Electronics,22/10/23,0,0,Doctor,5
145,32,Other,Silver,156,2356.045144,Clothing,7/5/2023,0,1,Engineer,13
146,59,Female,Silver,22,6081.063665,Sports,1/11/2023,1,0,Engineer,36
147,19,Female,Silver,20,7856.804834,Books,23/09/23,1,0,Engineer,24
148,54,Female,Gold,177,7268.274296,Books,11/10/2023,1,0,Retired,11
149,28,Female,Platinum,19,3171.139203,Home Goods,29/09/23,0,1,Student,40
150,40,Other,Bronze,71,6743.928861,Beauty,22/07/23,0,1,Student,18
151,61,Male,Platinum,170,6306.146931,Clothing,4/10/2023,1,1,Doctor,8
152,58,Male,Gold,6,6507.357249,Books,24/02/23,0,0,Unemployed,0
153,29,Other,Gold,62,2730.839508,Sports,29/01/23,0,0,Engineer,48
154,20,Female,Bronze,19,6240.039412,Home Goods,4/5/2023,1,1,Doctor,23
155,69,Female,Platinum,194,2090.185981,Sports,29/05/23,0,1,Artist,41
156,34,Male,Bronze,37,4067.204705,Home Goods,10/9/2023,1,1,Artist,13
157,50,Male,Platinum,9,5591.911513,Books,7/4/2023,1,1,Student,44
158,18,Female,Silver,160,6642.945916,Books,19/09/23,1,0,Doctor,47
159,56,Other,Bronze,172,5765.784141,Electronics,12/2/2023,1,1,Student,11
160,37,Other,Bronze,152,2587.402754,Beauty,1/11/2023,0,1,Unemployed,20
161,64,Other,Gold,134,8026.08355,Clothing,27/11/23,0,0,Doctor,41
162,60,Female,Bronze,153,245.0284016,Sports,22/09/23,0,1,Unemployed,33
163,69,Female,Platinum,48,102.8028536,Clothing,23/03/23,1,1,Doctor,49
164,58,Female,Silver,59,1981.397217,Sports,30/09/23,1,1,Retired,29
165,31,Female,Silver,42,1689.611737,Sports,22/06/23,1,0,Doctor,42
166,48,Male,Bronze,178,9515.34075,Books,22/01/23,0,0,Retired,42
167,42,Other,Platinum,107,3161.021045,Clothing,14/02/23,1,1,Student,13
168,20,Male,Platinum,25,1553.134124,Electronics,20/09/23,1,0,Teacher,19
169,21,Female,Gold,5,4380.689346,Books,11/4/2023,0,0,Unemployed,37
170,48,Male,Platinum,193,8108.982856,Sports,4/2/2023,0,1,Teacher,23
171,52,Male,Bronze,93,1422.873895,Electronics,2/4/2023,0,0,Unemployed,26
172,61,Male,Bronze,119,5842.528956,Books,14/09/23,0,1,Retired,38
173,31,Other,Platinum,143,2876.477064,Beauty,26/04/23,1,0,Engineer,49
174,66,Female,Platinum,170,9106.125136,Beauty,1/6/2023,1,0,Retired,0
175,58,Female,Silver,114,1836.277907,Sports,13/01/23,1,0,Doctor,47
176,26,Other,Platinum,58,3810.850602,Sports,3/8/2023,1,0,Student,36
177,37,Other,Silver,129,3069.05144,Home Goods,26/04/23,1,1,Retired,40
178,49,Other,Platinum,104,6225.962906,Sports,29/08/23,1,1,Doctor,0
179,26,Other,Gold,137,5876.289077,Books,27/09/23,0,1,Teacher,39
180,44,Female,Bronze,41,4721.693056,Electronics,16/11/23,1,1,Retired,15
181,20,Other,Platinum,39,8947.393042,Books,27/11/23,0,1,Engineer,22
182,21,Female,Gold,130,6311.68234,Home Goods,14/07/23,1,0,Engineer,40
183,62,Other,Platinum,70,8911.910392,Clothing,4/8/2023,1,0,Engineer,26
184,32,Female,Platinum,184,1764.216237,Sports,23/11/23,0,0,Artist,3
185,50,Male,Silver,29,2692.972807,Books,27/03/23,0,1,Engineer,49
186,22,Male,Platinum,122,9203.632504,Books,8/11/2023,0,1,Student,17
187,21,Other,Silver,27,5221.689954,Home Goods,21/04/23,0,1,Retired,15
188,63,Other,Platinum,32,9514.342223,Sports,29/08/23,1,1,Student,31
189,29,Female,Bronze,23,3848.495497,Sports,25/08/23,1,0,Engineer,7
190,40,Female,Platinum,97,4769.16985,Sports,7/12/2023,0,0,Engineer,37
191,31,Male,Silver,197,4528.939434,Home Goods,3/11/2023,0,1,Doctor,37
192,63,Female,Gold,87,8986.102163,Clothing,19/02/23,0,0,Teacher,8
193,29,Other,Silver,70,3094.422556,Electronics,10/11/2023,1,0,Doctor,45
194,34,Female,Silver,161,1429.570238,Electronics,26/05/23,0,1,Unemployed,33
195,42,Male,Gold,84,6286.812451,Beauty,11/10/2023,0,0,Unemployed,22
196,47,Male,Gold,163,8380.239386,Beauty,23/08/23,1,0,Teacher,18
197,39,Male,Platinum,127,8670.556066,Clothing,8/11/2023,1,1,Doctor,49
198,64,Female,Gold,87,4930.754207,Sports,29/01/23,1,0,Unemployed,46
199,43,Male,Platinum,111,1760.55204,Home Goods,17/08/23,0,0,Artist,15
200,34,Other,Platinum,164,9829.072457,Home Goods,3/6/2023,1,1,Engineer,9
201,37,Other,Silver,77,9907.411192,Beauty,20/08/23,0,0,Student,25
202,51,Male,Platinum,26,2945.258111,Beauty,9/4/2023,1,0,Unemployed,48
203,58,Female,Silver,24,480.5288066,Sports,12/3/2023,0,1,Student,13
204,50,Other,Gold,61,1273.382226,Sports,13/03/23,1,0,Student,27
205,54,Male,Platinum,193,4844.864457,Home Goods,25/10/23,1,0,Teacher,12
206,24,Female,Bronze,95,1169.312861,Home Goods,4/7/2023,1,0,Artist,42
207,39,Male,Gold,27,8214.921914,Sports,21/09/23,0,0,Student,25
208,49,Male,Platinum,43,9355.894531,Home Goods,18/02/23,1,1,Artist,1
209,31,Female,Silver,197,7771.335784,Electronics,10/9/2023,0,0,Doctor,27
210,25,Female,Bronze,177,740.6021565,Clothing,28/10/23,0,0,Retired,22
211,42,Female,Gold,19,3697.530231,Electronics,6/5/2023,0,0,Doctor,25
212,33,Female,Platinum,42,8064.604199,Electronics,13/11/23,0,1,Teacher,1
213,59,Other,Platinum,128,5686.528672,Electronics,14/02/23,1,1,Doctor,1
214,36,Male,Silver,132,2159.552869,Beauty,26/11/23,1,0,Unemployed,11
215,58,Female,Silver,8,4424.857163,Books,12/12/2023,0,0,Unemployed,41
216,33,Female,Gold,62,8489.229147,Beauty,29/10/23,0,0,Teacher,34
217,29,Male,Gold,151,8644.259036,Electronics,26/12/23,0,1,Artist,23
218,56,Male,Bronze,190,7016.638834,Home Goods,23/06/23,1,0,Doctor,0
219,65,Female,Platinum,141,6980.941497,Sports,22/02/23,1,1,Engineer,46
220,47,Other,Silver,197,7984.422525,Books,13/09/23,1,1,Teacher,10
221,19,Female,Silver,86,5190.157208,Beauty,14/02/23,1,0,Engineer,13
222,49,Other,Platinum,122,8281.435251,Books,24/06/23,1,1,Student,14
223,62,Other,Bronze,93,9531.270345,Beauty,8/2/2023,0,1,Doctor,14
224,42,Female,Gold,105,3258.015931,Sports,12/8/2023,1,1,Teacher,25
225,42,Female,Bronze,10,3776.713679,Electronics,16/05/23,0,1,Student,4
226,21,Other,Silver,161,5045.749474,Home Goods,15/11/23,0,0,Teacher,46
227,36,Female,Platinum,44,4384.613582,Sports,21/12/23,0,1,Unemployed,17
228,65,Male,Silver,72,733.3051409,Books,10/5/2023,0,1,Teacher,26
229,21,Female,Gold,16,4020.607248,Beauty,28/05/23,0,0,Teacher,15
230,60,Female,Silver,198,6530.460846,Beauty,14/10/23,1,1,Teacher,24
231,30,Female,Silver,140,5209.311166,Sports,9/3/2023,1,1,Doctor,36
232,56,Female,Platinum,60,358.9796396,Sports,7/3/2023,0,1,Unemployed,0
233,53,Male,Bronze,40,6054.088094,Books,9/1/2023,0,0,Retired,40
234,40,Other,Bronze,99,8054.655613,Books,11/4/2023,1,0,Artist,32
235,23,Male,Bronze,127,9367.7268,Clothing,4/12/2023,0,0,Doctor,4
236,41,Male,Platinum,88,6865.997824,Beauty,25/02/23,1,0,Retired,35
237,61,Female,Bronze,30,8549.128947,Sports,28/05/23,1,1,Unemployed,20
238,50,Female,Silver,165,7115.208571,Home Goods,4/3/2023,0,0,Student,14
239,29,Female,Platinum,81,9134.209423,Electronics,9/8/2023,1,1,Unemployed,29
240,58,Male,Platinum,106,448.6091384,Books,17/02/23,0,1,Student,26
241,38,Female,Platinum,147,6123.341692,Electronics,18/04/23,0,0,Student,35
242,28,Female,Platinum,149,6732.312171,Home Goods,29/07/23,1,1,Teacher,15
243,61,Male,Silver,15,1314.983065,Electronics,11/11/2023,1,0,Engineer,29
244,55,Other,Gold,4,431.0108788,Clothing,28/04/23,0,1,Doctor,6
245,46,Male,Bronze,114,1459.023044,Sports,7/3/2023,0,1,Engineer,37
246,65,Female,Bronze,141,4162.332426,Electronics,6/3/2023,1,1,Doctor,27
247,58,Other,Silver,182,5339.460723,Home Goods,28/11/23,1,1,Retired,30
248,20,Female,Silver,114,2496.267187,Beauty,20/04/23,1,0,Engineer,6
249,45,Male,Platinum,147,2934.011467,Home Goods,8/5/2023,1,1,Unemployed,21
250,37,Other,Silver,143,2445.981987,Electronics,25/03/23,0,0,Unemployed,38
251,43,Female,Bronze,12,9570.9186,Beauty,2/1/2023,0,0,Doctor,27
252,41,Male,Silver,177,4889.463604,Sports,15/05/23,0,0,Doctor,10
253,69,Female,Gold,85,3550.352548,Home Goods,13/04/23,0,0,Teacher,9
254,64,Female,Silver,72,2973.791593,Clothing,22/04/23,1,0,Engineer,32
255,38,Male,Silver,190,3390.798922,Sports,27/04/23,0,0,Unemployed,23
256,47,Other,Gold,115,9347.684336,Sports,28/09/23,0,1,Engineer,14
257,21,Other,Bronze,75,3334.879274,Electronics,8/5/2023,0,1,Retired,47
258,53,Other,Bronze,130,2931.885542,Sports,12/8/2023,0,1,Doctor,21
259,57,Male,Bronze,139,7383.822651,Electronics,29/08/23,0,1,Doctor,38
260,27,Male,Platinum,57,2735.667355,Electronics,7/9/2023,1,1,Doctor,10
261,27,Male,Platinum,45,4930.944216,Clothing,3/12/2023,1,0,Student,15
262,59,Female,Platinum,35,1378.778683,Clothing,29/09/23,0,1,Artist,18
263,41,Male,Silver,130,7081.609831,Books,25/06/23,0,1,Doctor,45
264,21,Other,Bronze,110,277.2199266,Sports,16/03/23,1,0,Artist,31
265,64,Female,Bronze,4,6330.460836,Electronics,13/08/23,1,1,Teacher,39
266,44,Female,Bronze,70,3111.995468,Electronics,22/04/23,0,1,Artist,47
267,68,Other,Platinum,37,8956.868428,Sports,6/10/2023,1,0,Unemployed,6
268,62,Other,Gold,77,9188.483352,Clothing,8/8/2023,1,1,Artist,9
269,21,Other,Gold,187,9963.87096,Books,27/08/23,0,1,Doctor,9
270,49,Female,Gold,108,9256.374533,Clothing,11/8/2023,1,0,Artist,17
271,27,Other,Platinum,107,7543.297636,Home Goods,4/2/2023,0,1,Teacher,17
272,28,Other,Bronze,23,6246.511529,Beauty,30/04/23,1,0,Doctor,3
273,45,Male,Silver,16,3037.076531,Books,3/5/2023,0,0,Doctor,40
274,63,Female,Bronze,1,2528.695679,Books,18/07/23,0,1,Doctor,48
275,25,Female,Platinum,46,6112.42467,Electronics,10/9/2023,1,0,Engineer,42
276,57,Other,Gold,30,1539.985019,Books,4/7/2023,1,1,Student,1
277,39,Other,Platinum,41,9703.356868,Beauty,16/08/23,1,1,Engineer,6
278,51,Male,Silver,39,9268.555353,Clothing,30/04/23,1,0,Doctor,3
279,62,Female,Silver,24,7555.9961,Beauty,6/2/2023,1,1,Engineer,8
280,52,Female,Gold,131,4219.180868,Sports,22/06/23,0,1,Artist,37
281,52,Male,Gold,12,4294.417172,Beauty,10/6/2023,0,1,Retired,0
282,42,Other,Silver,38,2108.333344,Books,27/02/23,1,1,Artist,34
283,51,Female,Gold,20,6226.6919,Electronics,31/05/23,0,1,Doctor,20
284,23,Male,Gold,149,2249.343799,Clothing,31/05/23,0,0,Retired,46
285,58,Other,Bronze,107,4072.816736,Books,29/07/23,1,1,Retired,37
286,54,Female,Silver,135,5013.447105,Beauty,27/08/23,0,0,Artist,2
287,18,Male,Gold,146,2629.736376,Clothing,22/02/23,1,1,Retired,13
288,29,Male,Platinum,180,7587.983492,Home Goods,12/5/2023,0,1,Student,36
289,52,Other,Bronze,119,3204.558179,Electronics,15/12/23,0,1,Teacher,6
290,23,Female,Platinum,2,397.4786321,Home Goods,19/02/23,0,1,Engineer,34
291,34,Male,Gold,131,8549.448557,Clothing,10/2/2023,0,1,Doctor,32
292,26,Other,Platinum,152,6318.592608,Clothing,27/12/23,0,0,Unemployed,43
293,19,Male,Bronze,6,6394.623871,Beauty,28/08/23,0,1,Engineer,29
294,35,Other,Bronze,133,8955.543483,Books,16/03/23,1,0,Teacher,47
295,66,Male,Silver,136,2516.308637,Sports,26/11/23,0,1,Retired,43
296,53,Female,Bronze,198,3124.240332,Electronics,29/04/23,0,1,Doctor,8
297,45,Female,Platinum,82,2851.852974,Home Goods,14/06/23,1,0,Teacher,39
298,58,Other,Platinum,106,7274.738297,Sports,9/1/2023,1,0,Student,14
299,54,Male,Gold,38,7309.132952,Sports,10/6/2023,0,0,Student,12
300,66,Other,Silver,3,5374.962644,Electronics,26/06/23,1,1,Student,5
301,43,Other,Bronze,30,4332.123975,Home Goods,29/12/23,1,0,Retired,41
302,21,Other,Platinum,53,8538.458281,Sports,26/06/23,1,0,Teacher,6
303,57,Male,Silver,150,7054.706088,Electronics,1/3/2023,0,0,Student,33
304,53,Other,Bronze,176,9008.509509,Clothing,30/12/23,1,1,Teacher,23
305,68,Male,Silver,67,2868.177501,Clothing,3/12/2023,1,0,Artist,33
306,48,Other,Bronze,96,2345.237593,Clothing,31/10/23,0,1,Doctor,15
307,47,Other,Platinum,156,2296.466997,Electronics,15/06/23,0,0,Artist,5
308,67,Female,Platinum,19,6693.769931,Electronics,21/01/23,0,1,Unemployed,20
309,51,Female,Platinum,112,5233.077336,Books,11/5/2023,1,0,Retired,38
310,36,Other,Platinum,130,6392.405984,Sports,13/11/23,1,0,Student,1
311,35,Female,Bronze,95,873.8563999,Electronics,20/06/23,0,0,Teacher,45
312,47,Other,Bronze,64,5652.847733,Clothing,30/07/23,0,1,Engineer,38
313,38,Female,Bronze,181,3858.880348,Clothing,24/03/23,0,1,Unemployed,18
314,20,Other,Bronze,78,8789.477081,Clothing,1/3/2023,0,1,Doctor,41
315,23,Female,Platinum,166,3019.668867,Electronics,3/2/2023,1,0,Engineer,34
316,55,Male,Platinum,24,9502.128106,Sports,20/08/23,1,1,Engineer,26
317,30,Other,Gold,91,7198.783146,Electronics,14/10/23,0,1,Retired,9
318,62,Other,Bronze,10,7449.235745,Clothing,9/8/2023,0,1,Student,34
319,20,Male,Platinum,116,6946.085579,Beauty,20/11/23,0,0,Engineer,42
320,65,Male,Gold,5,2267.390089,Electronics,23/07/23,0,1,Student,11
321,45,Male,Gold,108,3026.955069,Beauty,5/1/2023,1,0,Student,8
322,39,Male,Gold,13,9152.62774,Electronics,23/04/23,1,1,Doctor,13
323,57,Male,Silver,78,8480.070947,Sports,17/03/23,0,0,Student,27
324,57,Female,Gold,150,9462.965581,Electronics,30/03/23,1,1,Engineer,32
325,29,Female,Platinum,27,3483.392987,Beauty,7/11/2023,1,0,Engineer,25
326,40,Female,Silver,70,3874.166953,Electronics,23/06/23,1,1,Artist,30
327,48,Female,Bronze,56,9741.784824,Sports,13/08/23,1,0,Artist,0
328,35,Female,Bronze,21,8541.393387,Beauty,15/06/23,1,1,Student,39
329,24,Male,Gold,111,8347.22261,Beauty,9/1/2023,1,1,Unemployed,30
330,25,Other,Gold,66,2769.667121,Electronics,28/10/23,0,1,Teacher,19
331,36,Female,Bronze,49,6276.613247,Beauty,18/07/23,0,1,Teacher,13
332,46,Other,Bronze,128,5330.015753,Books,26/04/23,0,0,Artist,8
333,61,Male,Platinum,108,6296.84395,Sports,31/03/23,0,1,Retired,46
334,37,Other,Silver,59,9325.487086,Electronics,28/01/23,0,0,Teacher,9
335,67,Male,Platinum,113,2552.055459,Books,5/9/2023,0,1,Artist,3
336,59,Other,Platinum,80,3059.962635,Clothing,21/07/23,1,1,Teacher,4
